product_id,manufacturer_id,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,categories,category_id,parent_category
22665,861,4,0,490,2,66,2890.0,2890.0,327.0
22665,861,4,0,490,2,66,855.0,855.0,37.0
22665,861,4,0,490,2,66,3908.0,3908.0,522.0
22665,861,4,0,490,2,66,3909.0,3909.0,522.0
28640,1366,10,1,537,0,101,,1077.0,613.0
13526,1090,10,0,511,0,0,3270.0,3270.0,72.0
13526,1090,10,0,511,0,0,163.0,163.0,515.0
13526,1090,10,0,511,0,0,284.0,284.0,554.0
13526,1090,10,0,511,0,0,1694.0,1694.0,554.0
13526,1090,10,0,511,0,0,12.0,12.0,405.0
13526,1090,10,0,511,0,0,3837.0,3837.0,405.0
13526,1090,10,0,511,0,0,2422.0,2422.0,405.0
13526,1090,10,0,511,0,0,3595.0,3595.0,554.0
13526,1090,10,0,511,0,0,3561.0,3561.0,554.0
13526,1090,10,0,511,0,0,3912.0,3912.0,522.0
13526,1090,10,0,511,0,0,3913.0,3913.0,522.0
13526,1090,10,0,511,0,0,3914.0,3914.0,522.0
13526,1090,10,0,511,0,0,3915.0,3915.0,522.0
21399,1090,10,1,511,0,0,3270.0,3270.0,72.0
8504,768,4,1,484,0,66,2470.0,2470.0,276.0
32122,5,4,1,491,0,66,,1783.2,613.0
31956,1388,4,0,491,0,66,236.0,236.0,186.0
31956,1388,4,0,491,0,66,3625.0,3625.0,238.0
31956,1388,4,0,491,0,66,356.0,356.0,57.0
6237,1492,4,1,491,3,66,2658.0,2658.0,193.0
6237,1492,4,1,491,3,66,1686.0,1686.0,303.0
16971,288,6,0,314,0,45,390.0,390.0,548.0
16971,288,6,0,314,0,45,2678.0,2678.0,360.0
16971,288,6,0,314,0,45,1708.0,1708.0,139.0
18385,288,6,0,314,0,45,390.0,390.0,548.0
18385,288,6,0,314,0,45,1708.0,1708.0,139.0
12775,322,1,0,536,0,78,3222.0,3222.0,93.0
12775,322,1,0,536,0,78,1170.0,1170.0,0.0
12775,322,1,0,536,0,78,2296.0,2296.0,219.0
12775,322,1,0,536,0,78,3751.0,3751.0,409.0
12775,322,1,0,536,0,78,3399.0,3399.0,409.0
12775,322,1,0,536,0,78,1772.0,1772.0,120.0
12775,322,1,0,536,0,78,3917.0,3917.0,522.0
8285,734,10,0,510,3,132,3259.0,3259.0,378.0
8285,734,10,0,510,3,132,2144.0,2144.0,240.0
8285,734,10,0,510,3,132,2984.0,2984.0,152.0
8285,734,10,0,510,3,132,677.0,677.0,488.0
8285,734,10,0,510,3,132,3349.0,3349.0,292.0
16238,1180,10,0,288,0,87,2942.0,2942.0,334.0
29828,1180,10,0,288,0,87,2942.0,2942.0,334.0
13025,589,10,1,503,3,17,1091.0,1091.0,529.0
13025,589,10,1,503,3,17,2325.0,2325.0,80.0
18912,703,4,0,335,0,89,474.0,474.0,358.0
18912,703,4,0,335,0,89,1330.0,1330.0,481.0
18912,703,4,0,335,0,89,3471.0,3471.0,114.0
366,1366,10,1,537,0,101,,1077.0,613.0
17432,1277,4,1,491,0,144,1807.0,1807.0,15.0
4119,167,4,1,466,0,-1,,3239.2,613.0
1954,1277,4,1,491,0,144,1920.0,1920.0,120.0
1954,1277,4,1,491,0,144,3919.0,3919.0,522.0
14612,1277,4,1,491,0,66,,1783.2,613.0
1373,1277,4,1,491,0,144,,1953.8,613.0
2440,322,4,1,536,0,144,1984.0,1984.0,158.0
6084,1040,6,1,454,0,173,1373.0,1373.0,44.0
